TWEET,STOCK,DATE,LAST_PRICE,3_DAY_RETURN,PX_VOLUME,VOLATILITY_10D,VOLATILITY_30D,LSTM_POLARITY,TEXTBLOB_POLARITY,TWTOKEN
RT @intel: Experience a side to LeBron James you've never seen before with Intel 360 Replay technology. Really...never.…,Intel,31/03/2017,36.07,-0.0130302190185749,21438385.0,11.049,11.681,1,0.0,$RESERVED$ $MENTION$: Experience a side to LeBron James you've never seen before with Intel $NUMBER$ Replay technology. Really...never.
Sinister #palmoil company @Indofood exploits workers. I want @RSPOtweets to kick the rogue company - and @Nestle &amp;… https://t.co/jPBr7cMgNa,Nestle,06/09/2018,79.96,0.0192596298149075,3285329.0,8.21,7.999,1,-0.5,Sinister $HASHTAG$ company $MENTION$ exploits workers. I want $MENTION$ to kick the rogue company - and $MENTION$ &amp; $URL$
@CocaCola I prefer #DoctorPepper...sometimes #Coke/#CherryCoke...I got #CocaCola #shirts I will wear this summer. I… https://t.co/wPxGFXplw1,CocaCola,31/03/2017,42.44,-0.0002356267672007,11551767.0,6.943,6.9460000000000015,1,0.0,$MENTION$ I prefer $HASHTAG$...sometimes $HASHTAG$/$HASHTAG$...I got $HASHTAG$ $HASHTAG$ I will wear this summer. I $URL$
RT @smoke1playa: @ClayTravis @Nike It’s an entirely trash move.,Nike,04/09/2018,79.6,0.0326633165829146,18565837.0,20.517,20.153,1,0.0,$RESERVED$ $MENTION$: $MENTION$ $MENTION$ Its an entirely trash move.
Check out 50 pcs Burlap Pouches - Hessian - Jute - look Mini Bag 3x4 inch without the... #shingyo https://t.co/y7WxFFDbvE via @eBay,eBay,23/10/2018,28.19,0.0198652004256828,12577530.0,50.797,35.345,-1,0.0,Check out $NUMBER$ pcs Burlap Pouches - Hessian - Jute - look Mini Bag $NUMBER$x4 inch without the... $HASHTAG$ $URL$ via $MENTION$
"Although @Nike decision will fuel outrage, their will be a counter buying of Nike products in support of… https://t.co/2QQoUo9mBz",Nike,04/09/2018,79.6,0.0326633165829146,18565837.0,20.517,20.153,1,0.0,"Although $MENTION$ decision will fuel outrage, their will be a counter buying of Nike products in support of $URL$"
RT @kittyinfl: @Lisa62Texas @RealDark_Kent @w_terrence @Nike I will be anxious to see if their stocks tank! Surely it will!!!!,Nike,04/09/2018,79.6,0.0326633165829146,18565837.0,20.517,20.153,-1,-0.3125,$RESERVED$ $MENTION$: $MENTION$ $MENTION$ $MENTION$ $MENTION$ I will be anxious to see if their stocks tank! Surely it will!!!!
RT @Citi: Read one about one young duo in Johannesburg who are building their own business via #Pathways2Progress.…,Citigroup,31/08/2017,68.03,-0.0032338674114361,12439281.0,11.29,17.383,-1,0.35,$RESERVED$ $MENTION$: Read one about one young duo in Johannesburg who are building their own business via $HASHTAG$.
@Reuters They seek him there. They seek him here.I reckon it is Trump's hairdresser.,Reuters,06/09/2018,49.5209,-0.0095636387868556,2366771.0,18.779,16.945999999999998,-1,0.0,$MENTION$ They seek him there. They seek him here.I reckon it is Trump's hairdresser.
"RT @TimothyDeLaG: So @netflix is workin on a new live action show for Avatar The Last Airbender??? Aye... don’t fuck it up like the movie,…",Netflix,19/09/2018,366.96,-0.0065402223675604,11876841.0,42.851000000000006,41.694,1,0.0931818181818181,"$RESERVED$ $MENTION$: So $MENTION$ is workin on a new live action show for Avatar The Last Airbender??? Aye... dont fuck it up like the movie,"
